The Tragically Hip - (SBD),1995-10-28,https://www.youtube.com/watch?v=VeOV0iBfG8o,New York City,SBD,"Grace, Too (w/ Don't Wake Daddy tag) / Inevitability Of Death  (w/ Pascal's Single Cause) / Fully Completely................................................................cl..."
The Tragically Hip - Between Us Live 1996 SBD Compilation,1996,https://www.youtube.com/watch?v=MRFdDo0_zVA,,SBD,Gift Shop / Let's Stay Engaged / Twist My Arm  (w/ (Todd Rundgren) It...
The Tragically Hip - 4 from SBD,1996,https://www.youtube.com/watch?v=Wf1mbp0qOcg,Las Vegas,SBD,Titanic Terrarium  (w/ Empty outro tag) / Hiccups/Daredevil / At The Hundredth Meridian  (w/ Freaked/Fucked - Cookie Factory - Insomniacs Of The World Goodnight - (Hazel...
The Tragically Hip - 4 from SBD,1996,https://www.youtube.com/watch?v=Wf1mbp0qOcg,Las Vegas,SBD,Titanic Terrarium  (w/ Empty outro tag) / Hiccups/Daredevil / At The Hundredth Meridian  (w/ Freaked/Fucked - Cookie Factory - Insomniacs Of The World Goodnight - (Hazel...
The Tragically Hip - 4 from SBD,1996,https://www.youtube.com/watch?v=qeAEjev05O4,Buffalo,SBD,Twist My Arm  (w/ (Todd Rundgren)  It Wouldn't Have Made Any Difference outro tag) / Nautical Disaster  (w/ (Rheostatics) Bad Time To Be Poor & Claire - (Jane Siberry) Temple...
The Tragically Hip - 5 from SBD,1996,https://www.youtube.com/watch?v=edDcg_qnp8I,Pittsburgh,SBD,Opiated / Hiccups/Daredevil / Sherpa.................................................................click SHOW MORE to expand  vvv / Locked In The Trunk Of A...
The Tragically Hip - (FM Radio Simulcast),1996-05-18,https://www.youtube.com/watch?v=F8KP7_TRBA4,,,"Grace, Too  (Fades in - w/ Procrastination tag) / Springtime In Vienna / Nautical Disaster..."
The Tragically Hip - (FM Radio Simulcast),1996-05-18,https://www.youtube.com/watch?v=F8KP7_TRBA4,,,"Grace, Too  (Fades in - w/ Procrastination tag) / Springtime In Vienna / Nautical Disaster..."
The Tragically Hip - (SBD),1996-05-29,https://www.youtube.com/watch?v=2LEZW_MbVeA,Wahington DC,SBD,Johnny Fay intro / Gift Shop...............................click SHOW MORE to expand vvv / Springtime In Vienna...
The Tragically Hip - (FM Radio Simulcast),1996-05-29,https://www.youtube.com/watch?v=tBZ8kVmdf-0,,,"Gift Shop / Springtime In Vienna  (w/ Nazi Artist)....................click SHOW MORE to expand  vvv / Grace,..."
The Tragically Hip - ( SBD - Part 1),1996-06-01,https://www.youtube.com/watch?v=IVjNb5_sjpg,NYC,SBD,Gift Shop
The Tragically Hip - ( SBD - Part 2),1996-06-01,https://www.youtube.com/watch?v=amsu5HW0shY,NYC,SBD,Ahead By A Century
The Tragically Hip,1996-06-21,https://www.youtube.com/watch?v=pBxql0J-05k,"Dallas, Texas",,"Gift Shop  (w/ (Steve Earle) Feel Alright tag) / Grace, Too.............................................................click..."
